DateTime,Tone,MovemCatDJIA,MovemCatNAS,MovemCatSP
2021-02-05 10:00:11,-0.1265957466,1,1,1
2021-02-05 10:30:10,-0.1279285777,-1,-1,-1
2021-02-05 11:00:09,-0.2015693578,1,1,1
2021-02-05 11:30:09,-0.1205714279,-1,-1,-1
2021-02-05 12:00:09,-0.1154811733,-1,1,1
2021-02-05 12:30:10,-0.1188477334,1,1,1
2021-02-05 13:00:25,-0.1066926133,1,1,1
2021-02-05 13:30:14,-0.1283333352,-1,-1,-1
2021-02-05 14:00:09,-0.2091923195,-1,-1,-1
2021-02-05 14:30:10,-0.1262240733,1,-1,1
2021-02-05 15:00:11,-0.1260833378,-1,1,-1
2021-02-05 15:30:10,-0.1242500069,-1,-1,1
2021-02-05 16:00:09,-0.2033750043,1,1,-1
2021-02-08 9:30:10,-0.1746250031,1,1,1
2021-02-08 10:00:09,-0.1213186876,1,1,1
2021-02-08 10:30:13,-0.1920000006,1,-1,1
2021-02-08 11:00:12,-0.1888932918,-1,1,-1
2021-02-08 11:30:11,-0.1982417594,1,-1,-1
2021-02-08 12:00:12,-0.124186046,-1,-1,-1
2021-02-08 12:30:10,-0.12318182,1,1,1
2021-02-08 13:00:28,-0.07000000104,-1,-1,-1
2021-02-08 13:30:11,-0.06566667019,-1,1,1
2021-02-08 14:00:11,-0.06908333563,1,-1,-1
2021-02-08 14:30:12,-0.1188281315,1,1,1
2021-02-08 15:00:11,-0.2140637608,1,1,1
2021-02-08 15:30:11,-0.2013669211,1,1,1
2021-02-08 16:00:11,-0.1144401538,1,1,1
2021-02-09 9:30:12,-0.1908260985,1,1,1
2021-02-09 10:00:14,-0.2111250008,-1,1,-1
2021-02-09 10:30:17,-0.2098750007,1,1,-1
2021-02-09 11:00:11,-0.1717529912,1,-1,-1
2021-02-09 11:30:10,-0.2384070778,1,-1,-1
2021-02-09 12:00:12,-0.1963179918,1,1,1
2021-02-09 12:30:14,-0.1985000117,1,1,1
2021-02-09 13:00:12,-0.1841538605,1,1,1
2021-02-09 13:30:10,-0.1178461533,-1,-1,-1
2021-02-09 14:00:10,-0.1905000108,1,-1,-1
2021-02-09 14:30:13,-0.2050193132,1,1,1
2021-02-09 15:00:11,-0.1946096732,1,1,1
2021-02-09 15:30:09,-0.1691208791,-1,-1,-1
2021-02-09 16:00:11,-0.1821428644,-1,-1,-1
2021-02-10 9:30:10,-0.06383886206,1,1,1
2021-02-10 10:00:11,-0.1336744178,1,1,1
2021-02-10 10:30:10,-0.1240983575,-1,-1,-1
2021-02-10 11:00:12,-0.1990384694,1,-1,-1
2021-02-10 11:30:15,-0.1663043544,-1,1,1
2021-02-10 12:00:12,-0.125542173,1,-1,1
2021-02-10 12:30:13,-0.144850753,-1,-1,-1
2021-02-10 13:00:25,-0.1361718794,1,1,1
2021-02-10 13:30:11,-0.2037969971,1,1,1
2021-02-10 14:00:12,-0.1210317478,-1,-1,-1
2021-02-10 14:30:10,-0.2113095322,1,1,1
2021-02-10 15:00:10,-0.2010407403,1,1,1
2021-02-10 15:30:11,-0.1168852526,1,-1,-1
2021-02-10 16:00:12,-0.1117550987,-1,-1,-1
2021-02-11 9:30:12,-0.168272736,1,1,1
2021-02-11 10:00:12,-0.1291357994,1,1,1
2021-02-11 10:30:10,-0.1230917907,1,-1,1
2021-02-11 11:00:14,-0.1745669397,-1,1,1
2021-02-11 11:30:11,-0.1242718465,-1,-1,-1
2021-02-11 12:00:11,-0.1842290741,-1,1,1
2021-02-11 12:30:13,-0.1647674449,-1,-1,-1
2021-02-11 13:00:30,0,1,1,-1
2021-02-11 13:30:10,-0.1967500002,1,1,1
2021-02-11 14:00:12,-0.1914567077,-1,1,1
2021-02-11 14:30:09,-0.1767692343,-1,-1,-1
2021-02-11 15:00:13,-0.1179487197,1,1,1
2021-02-11 15:30:09,-0.1154629619,1,1,1
2021-02-11 16:00:11,-0.1149218815,1,1,1
2021-02-12 12:00:12,-0.2115000046,1,1,1
2021-02-12 12:30:10,-0.210416675,-1,1,-1
2021-02-12 13:00:10,-0.1419863056,-1,1,-1
2021-02-12 13:30:10,-0.133537419,-1,-1,-1
2021-02-12 14:00:14,-0.1311333333,1,1,-1
2021-02-12 14:30:09,-0.1925357187,-1,-1,1
2021-02-12 15:00:10,-0.1227799246,1,1,1
2021-02-12 15:30:09,-0.116431233,1,-1,1
2021-02-12 16:00:09,-0.1258436183,1,1,1
2021-02-16 9:30:08,-0.1776923148,1,-1,-1
2021-02-16 10:00:08,-0.1279999972,1,1,1
2021-02-16 10:30:09,-0.1662692444,1,-1,-1
2021-02-16 11:00:07,-0.1926923153,-1,-1,-1
2021-02-16 11:30:09,-0.1863461613,-1,-1,1
2021-02-16 12:00:08,-0.1624615484,-1,-1,-1
2021-02-16 12:30:08,-0.1249230741,1,1,1
2021-02-16 13:00:24,-0.1233076965,-1,-1,-1
2021-02-16 13:30:07,-0.1225384657,1,1,-1
2021-02-16 14:00:07,-0.1231538527,-1,-1,-1
2021-02-16 14:30:08,-0.1087692277,1,1,1
2021-02-16 15:00:08,-0.1239999995,-1,-1,-1
2021-02-16 15:30:08,-0.128769228,-1,1,-1
2021-02-16 16:00:09,-0.1864285788,-1,-1,-1
2021-02-17 9:30:09,-0.203346308,-1,-1,1
2021-02-17 10:00:09,-0.2051953278,-1,-1,-1
2021-02-17 10:30:08,-0.2034262993,-1,-1,-1
2021-02-17 11:00:09,-0.1913000107,1,1,1
2021-02-17 11:30:10,-0.1966406364,-1,-1,-1
2021-02-17 12:00:10,-0.1311510833,1,1,1
2021-02-17 12:30:11,-0.1332394365,1,1,1
2021-02-17 13:00:24,-0.2122580664,1,1,1
2021-02-17 13:30:08,-0.1981545065,1,1,1
2021-02-17 14:00:08,-0.1296498121,-1,1,1
2021-02-17 14:30:08,-0.1069135768,1,1,1
2021-02-17 15:00:08,-0.1266666709,1,-1,1
2021-02-17 15:30:10,-0.108953974,1,1,1
2021-02-17 16:00:08,-0.1079853451,1,1,1
2021-02-18 9:30:11,-0.1165094357,-1,-1,1
2021-02-18 10:00:08,-0.180905671,-1,-1,-1
2021-02-18 10:30:09,-0.183870975,-1,-1,-1
2021-02-18 11:00:08,-0.1260000019,1,1,1
2021-02-18 11:30:08,-0.1852000043,-1,1,1
2021-02-18 12:00:09,-0.1271586757,-1,-1,-1
2021-02-18 12:30:07,-0.1254804311,1,1,1
2021-02-18 13:00:35,-0.1328671348,1,-1,1
2021-02-18 13:30:08,-0.1372125413,1,1,1
2021-02-18 14:00:10,-0.1395333374,1,1,1
2021-02-18 14:30:08,-0.1349473726,1,1,1
2021-02-18 15:00:08,-0.1233103488,-1,1,-1
2021-02-18 15:30:08,-0.1411683828,1,1,1
2021-02-18 16:00:09,-0.1276923096,-1,-1,-1
2021-02-19 12:00:12,-0.1215899625,1,1,1
2021-02-19 12:30:11,-0.1223846219,-1,-1,-1
2021-02-19 13:00:11,-0.1251538457,-1,-1,-1
2021-02-19 13:30:12,-0.1826538569,1,1,-1
2021-02-19 14:00:42,-0.1645000142,1,1,1
2021-02-19 14:30:09,-0.178846161,-1,1,-1
2021-02-19 15:00:15,-0.1613077022,-1,-1,-1
2021-02-19 15:30:10,-0.1749642959,1,1,1
2021-02-19 16:00:13,-0.1832000042,-1,-1,-1
2021-02-22 9:30:10,-0.17307693,1,1,1
2021-02-22 10:00:09,-0.168510645,-1,-1,-1
2021-02-22 10:30:11,-0.170117661,1,-1,-1
2021-02-22 11:00:08,-0.1729787303,1,-1,-1
2021-02-22 11:30:09,-0.1805618015,1,1,1
2021-02-22 12:00:08,-0.1967415877,1,-1,-1
2021-02-22 12:30:10,-0.2126000146,1,-1,1
2021-02-22 13:00:12,-0.2000682611,1,1,1
2021-02-22 13:30:08,-0.1986597986,1,1,1
2021-02-22 14:00:08,-0.1856000135,1,1,1
2021-02-22 14:30:08,-0.1200666725,1,-1,-1
2021-02-22 15:00:08,-0.1161454541,-1,-1,-1
2021-02-22 15:30:08,-0.1627241476,-1,-1,-1
2021-02-22 16:00:09,-0.1171428589,-1,-1,-1
2021-02-23 9:30:08,-0.1883181976,-1,-1,-1
2021-02-23 10:00:09,-0.2633846068,-1,-1,-1
2021-02-23 10:30:09,-0.1987029406,1,1,1
2021-02-23 11:00:10,-0.2033802812,1,1,1
2021-02-23 11:30:10,-0.1283486202,-1,-1,-1
2021-02-23 12:00:12,-0.1888846194,-1,-1,-1
2021-02-23 12:30:08,-0.2481428565,1,1,1
2021-02-23 13:00:11,-0.2090283558,-1,-1,-1
2021-02-23 13:30:08,-0.1922477099,1,1,1
2021-02-23 14:00:08,-0.1937500077,1,1,1
2021-02-23 14:30:08,-0.1942731355,1,1,1
2021-02-23 15:00:08,-0.1941635833,1,1,1
2021-02-23 15:30:11,-0.2084347949,1,1,1
2021-02-23 16:00:09,-0.2639999938,-1,-1,-1
2021-02-24 9:30:10,-0.1895238134,-1,-1,-1
2021-02-24 10:00:16,-0.2064230781,-1,-1,-1
2021-02-24 10:30:08,-0.2492307729,1,1,1
2021-02-24 11:00:08,-0.1823161871,1,-1,1
2021-02-24 11:30:09,-0.194357144,1,1,1
2021-02-24 12:00:08,-0.1979570037,1,1,1
2021-02-24 12:30:12,-0.2111000145,1,1,1
2021-02-24 13:00:40,-0.1674725274,1,-1,1
2021-02-24 13:30:08,-0.1258461604,1,1,1
2021-02-24 14:00:09,-0.182536772,1,1,1
2021-02-24 14:30:10,-0.1820000149,-1,-1,-1
2021-02-24 15:00:08,-0.1772727343,-1,-1,-1
2021-02-24 15:30:08,-0.2530000089,1,1,1
2021-02-24 16:00:09,-0.1810757044,-1,1,1
2021-02-25 9:30:11,-0.1365799254,-1,1,-1
2021-02-25 10:00:16,-0.2012775451,-1,-1,-1
2021-02-25 10:30:08,-0.2075196897,-1,-1,-1
2021-02-25 11:00:09,-0.2240769285,-1,-1,-1
2021-02-25 11:30:11,-0.2240000051,-1,-1,1
2021-02-25 12:00:09,-0.2285000129,-1,-1,-1
2021-02-25 12:30:08,-0.1943478288,-1,-1,-1
2021-02-25 13:00:09,-0.1879091025,-1,-1,-1
2021-02-25 13:30:08,-0.2085501942,1,1,1
2021-02-25 14:00:09,-0.2132862243,-1,-1,-1
2021-02-25 14:30:09,-0.1985840868,1,1,1
2021-02-25 15:00:08,-0.119702604,-1,-1,-1
2021-02-26 11:04:49,-0.195775862,-1,-1,-1
2021-02-26 11:34:58,-0.1800000072,-1,-1,1
2021-02-26 12:04:30,-0.1742499993,1,1,1
2021-02-26 12:33:17,-0.2024427596,1,1,1
2021-03-01 10:00:09,-0.2024096386,1,1,1
2021-03-01 10:30:08,-0.176527775,1,1,1
2021-03-01 11:00:09,-0.1882325571,1,1,1
2021-03-01 11:30:11,-0.1805084817,-1,1,1
2021-03-01 12:00:09,-0.1774895391,1,1,1
