DateTime,Tone,DJIAChange,NASDAQChange,S&P500Change
2021-02-05 10:00:11,-0.1265957466,93.6,18.81,9.45
2021-02-05 10:30:10,-0.1279285777,-26.34,-7.44,-0.04
2021-02-05 11:00:09,-0.2015693578,98.15,26.9,7.73
2021-02-05 11:30:09,-0.1205714279,-58.79,-12.94,-6.87
2021-02-05 12:00:09,-0.1154811733,-19.42,24.77,2.31
2021-02-05 12:30:10,-0.1188477334,7.87,22.24,3.61
2021-02-05 13:00:25,-0.1066926133,35.53,22.23,4.7
2021-02-05 13:30:14,-0.1283333352,-22.57,-6.63,-1.6
2021-02-05 14:00:09,-0.2091923195,-25.39,-18.39,-3.72
2021-02-05 14:30:10,-0.1262240733,4.69,-5.74,0.38
2021-02-05 15:00:11,-0.1260833378,-8.3,3.46,-2.16
2021-02-05 15:30:10,-0.1242500069,-10.04,-1.46,1.1
2021-02-05 16:00:09,-0.2033750043,22.42,1.32,-2.71
2021-02-08 9:30:10,-0.1746250031,0.97,11.43,2.91
2021-02-08 10:00:09,-0.1213186876,181.02,93.76,18.68
2021-02-08 10:30:13,-0.1920000006,0.79,-20.94,0.27
2021-02-08 11:00:12,-0.1888932918,-46.98,19.87,-0.82
2021-02-08 11:30:11,-0.1982417594,3.6,-22.41,-4.04
2021-02-08 12:00:12,-0.124186046,-15.82,-10.6,-1.55
2021-02-08 12:30:10,-0.12318182,25.28,22.43,3.57
2021-02-08 13:00:28,-0.07000000104,-11.98,-13.32,-2.89
2021-02-08 13:30:11,-0.06566667019,-15.7,2.71,1.11
2021-02-08 14:00:11,-0.06908333563,4.04,-8.31,-2.62
2021-02-08 14:30:12,-0.1188281315,12.84,0.78,1.98
2021-02-08 15:00:11,-0.2140637608,24.02,7.34,2.96
2021-02-08 15:30:11,-0.2013669211,11.39,10.54,1.19
2021-02-08 16:00:11,-0.1144401538,26.4,34.73,6.02
2021-02-09 9:30:12,-0.1908260985,38.62,14.76,4.9
2021-02-09 10:00:14,-0.2111250008,-85.93,25.56,-3.08
2021-02-09 10:30:17,-0.2098750007,5.56,15.24,-1.49
2021-02-09 11:00:11,-0.1717529912,14.7,-0.76,-0.65
2021-02-09 11:30:10,-0.2384070778,12.94,-30.36,-3.81
2021-02-09 12:00:12,-0.1963179918,24.93,18.7,4.38
2021-02-09 12:30:14,-0.1985000117,35.32,10.71,4.45
2021-02-09 13:00:12,-0.1841538605,21.22,4.23,0.74
2021-02-09 13:30:10,-0.1178461533,-18.51,-18.24,-2.94
2021-02-09 14:00:10,-0.1905000108,6.55,-6.36,-1.59
2021-02-09 14:30:13,-0.2050193132,17.92,15.21,3.91
2021-02-09 15:00:11,-0.1946096732,10.61,4.4,2.15
2021-02-09 15:30:09,-0.1691208791,-33.08,-8.52,-2.61
2021-02-09 16:00:11,-0.1821428644,-41.63,-12.31,-5.54
2021-02-10 9:30:10,-0.06383886206,19.47,2.56,1.72
2021-02-10 10:00:11,-0.1336744178,81.08,70.11,13.41
2021-02-10 10:30:10,-0.1240983575,-95.79,-111.79,-22.27
2021-02-10 11:00:12,-0.1990384694,37.93,-53.52,-2.15
2021-02-10 11:30:15,-0.1663043544,-1.89,49.1,6.63
2021-02-10 12:00:12,-0.125542173,0.009999999998,-3.21,1.76
2021-02-10 12:30:13,-0.144850753,-34.78,-5.76,-6.87
2021-02-10 13:00:25,-0.1361718794,25.17,23,4.5
2021-02-10 13:30:11,-0.2037969971,18.48,9.21,2.36
2021-02-10 14:00:12,-0.1210317478,-8.85,-15.73,-3.02
2021-02-10 14:30:10,-0.2113095322,16.08,6.13,4.79
2021-02-10 15:00:10,-0.2010407403,51.64,39.08,5.7
2021-02-10 15:30:11,-0.1168852526,12,-11.41,-2.91
2021-02-10 16:00:12,-0.1117550987,-55.29,-39.31,-6.42
2021-02-11 9:30:12,-0.168272736,16.18,8.93,3.14
2021-02-11 10:00:12,-0.1291357994,15.04,51.9,7.14
2021-02-11 10:30:10,-0.1230917907,58.36,-4.27,2.83
2021-02-11 11:00:14,-0.1745669397,-61.57,29.48,0.95
2021-02-11 11:30:11,-0.1242718465,-15.62,-12.92,-6.07
2021-02-11 12:00:11,-0.1842290741,-15.7,2.95,1.54
2021-02-11 12:30:13,-0.1647674449,-116.94,-101.52,-14.99
2021-02-11 13:00:30,0,15.32,11.92,-3.75
2021-02-11 13:30:10,-0.1967500002,26.66,45.44,8.38
2021-02-11 14:00:12,-0.1914567077,-22.32,3.87,0.02
2021-02-11 14:30:09,-0.1767692343,-9.66,-39.2,-5.71
2021-02-11 15:00:13,-0.1179487197,45.48,19.78,3.58
2021-02-11 15:30:09,-0.1154629619,45.92,24.56,7.52
2021-02-11 16:00:11,-0.1149218815,8.57,12.08,2.22
2021-02-12 12:00:12,-0.2115000046,11.16,29.56,8.96
2021-02-12 12:30:10,-0.210416675,-15.98,2.1,-0.69
2021-02-12 13:00:10,-0.1419863056,-16.39,0.07,-1.52
2021-02-12 13:30:10,-0.133537419,-13.94,-18.96,-2.52
2021-02-12 14:00:14,-0.1311333333,2.22,3.49,-0.46
2021-02-12 14:30:09,-0.1925357187,-7.47,-1.22,0.42
2021-02-12 15:00:10,-0.1227799246,4.2,10.6,2.7
2021-02-12 15:30:09,-0.116431233,14.58,-1.01,1.73
2021-02-12 16:00:09,-0.1258436183,59.67,55.71,13.44
2021-02-16 9:30:08,-0.1776923148,9.01,-1.47,-0.77
2021-02-16 10:00:08,-0.1279999972,91.83,53.25,11.86
2021-02-16 10:30:09,-0.1662692444,22.71,-0.69,-1.62
2021-02-16 11:00:07,-0.1926923153,-50.22,-24.95,-9.22
2021-02-16 11:30:09,-0.1863461613,-23.99,-34.33,2.29
2021-02-16 12:00:08,-0.1624615484,-24.25,-38.55,-8.56
2021-02-16 12:30:08,-0.1249230741,62.55,3.88,7.16
2021-02-16 13:00:24,-0.1233076965,-4.34,-3.47,-0.15
2021-02-16 13:30:07,-0.1225384657,10.03,21.13,-0.11
2021-02-16 14:00:07,-0.1231538527,-15.83,-26.92,-2.24
2021-02-16 14:30:08,-0.1087692277,31.36,22.87,5.24
2021-02-16 15:00:08,-0.1239999995,-19.82,-12.96,-2.52
2021-02-16 15:30:08,-0.128769228,-6.44,0.76,-0.48
2021-02-16 16:00:09,-0.1864285788,-0.81,-6.31,-4.24
2021-02-17 9:30:09,-0.203346308,-8.43,-1.68,0.35
2021-02-17 10:00:09,-0.2051953278,-10.09,-87.03,-14.06
2021-02-17 10:30:08,-0.2034262993,-37.25,-70.26,-7.41
2021-02-17 11:00:09,-0.1913000107,68.94,28.79,8.71
2021-02-17 11:30:10,-0.1966406364,-85.22,-95.57,-12.32
2021-02-17 12:00:10,-0.1311510833,38.84,28.92,4.15
2021-02-17 12:30:11,-0.1332394365,11.25,3.24,2.92
2021-02-17 13:00:24,-0.2122580664,12.92,52.03,4.95
2021-02-17 13:30:08,-0.1981545065,23.48,8.93,0.15
2021-02-17 14:00:08,-0.1296498121,-8.47,11.79,1.58
2021-02-17 14:30:08,-0.1069135768,14.27,7.31,2.08
2021-02-17 15:00:08,-0.1266666709,54.67,-5.09,1.84
2021-02-17 15:30:10,-0.108953974,18.1,22.13,4.84
2021-02-17 16:00:08,-0.1079853451,7.16,14.87,0.9
2021-02-18 9:30:11,-0.1165094357,-18.33,-2.06,0.41
2021-02-18 10:00:08,-0.180905671,-184.06,-126.94,-29.39
2021-02-18 10:30:09,-0.183870975,-122.19,-119.51,-12.32
2021-02-18 11:00:08,-0.1260000019,93.66,64.34,10.37
2021-02-18 11:30:08,-0.1852000043,-4.35,29.92,2.32
2021-02-18 12:00:09,-0.1271586757,-36.27,-31.56,-7.51
2021-02-18 12:30:07,-0.1254804311,11.01,17.87,3.98
2021-02-18 13:00:35,-0.1328671348,9.22,-6.11,1.51
2021-02-18 13:30:08,-0.1372125413,92.72,41.53,10.03
2021-02-18 14:00:10,-0.1395333374,5.04,15.09,1.15
2021-02-18 14:30:08,-0.1349473726,49.39,10.17,3.81
2021-02-18 15:00:08,-0.1233103488,-0.46,11.49,-2.03
2021-02-18 15:30:08,-0.1411683828,2.7,21.3,6.05
2021-02-18 16:00:09,-0.1276923096,-41.62,-25.06,-4.31
2021-02-19 12:00:12,-0.1215899625,136.63,100.44,9.99
2021-02-19 12:30:11,-0.1223846219,-46.33,-51.85,-7.49
2021-02-19 13:00:11,-0.1251538457,-33.05,-55.5,-4.41
2021-02-19 13:30:12,-0.1826538569,8.21,17.21,-1.84
2021-02-19 14:00:42,-0.1645000142,5.98,12.11,3.17
2021-02-19 14:30:09,-0.178846161,-26.8,7.06,-3.84
2021-02-19 15:00:15,-0.1613077022,-18.41,-17.36,-2.4
2021-02-19 15:30:10,-0.1749642959,35.37,4.44,3.85
2021-02-19 16:00:13,-0.1832000042,-57.63,-23.2,-6.42
2021-02-22 9:30:10,-0.17307693,2.54,13.08,1.11
2021-02-22 10:00:09,-0.168510645,-128.91,-134.01,-19.23
2021-02-22 10:30:11,-0.170117661,29.38,-68,-7.03
2021-02-22 11:00:08,-0.1729787303,40.96,-53.87,-3.74
2021-02-22 11:30:09,-0.1805618015,62.9,36.15,9.92
2021-02-22 12:00:08,-0.1967415877,21.91,-13.01,-0.33
2021-02-22 12:30:10,-0.2126000146,35.37,-16.59,0.28
2021-02-22 13:00:12,-0.2000682611,46.89,38.52,6.36
2021-02-22 13:30:08,-0.1986597986,5.86,13.41,6.13
2021-02-22 14:00:08,-0.1856000135,28,18.33,2.75
2021-02-22 14:30:08,-0.1200666725,4.36,-20.09,-2.7
2021-02-22 15:00:08,-0.1161454541,-11.86,-30.28,-1.91
2021-02-22 15:30:08,-0.1627241476,-39.74,-52.28,-9.32
2021-02-22 16:00:09,-0.1171428589,-60.66,-53.34,-9.25
2021-02-23 9:30:08,-0.1883181976,-26.89,-6.35,-2.14
2021-02-23 10:00:09,-0.2633846068,-261.08,-404.77,-48.14
2021-02-23 10:30:09,-0.1987029406,133.31,110.81,20.8
2021-02-23 11:00:10,-0.2033802812,50.57,131.24,10.92
2021-02-23 11:30:10,-0.1283486202,-10.45,-66.97,-7.62
2021-02-23 12:00:12,-0.1888846194,-36.69,-30.1,-5.02
2021-02-23 12:30:08,-0.2481428565,9.6,3.07,0.41
2021-02-23 13:00:11,-0.2090283558,-35.79,-47.62,-13.71
2021-02-23 13:30:08,-0.1922477099,89.84,84.39,23.7
2021-02-23 14:00:08,-0.1937500077,18.43,14.3,0.43
2021-02-23 14:30:08,-0.1942731355,27.18,32.56,6.55
